""
"Pintor Diego Velázquez  "
"Pintor Francisco Goya  "
"Pintor Pablo Picasso  "
"Pintor Salvador Dalí  "
"Pintor Joan Miró  "
"Pintor El Greco  "
"Pintor Joaquín Sorolla  "
"Pintor Francisco de Zurbarán  "
"Pintor Juan Gris  "
"Pintor Aureliano de Beruete  "
"Pintor Antonio López García  "
"Pintor José de Ribera  "
"Pintor Juan Bautista Martínez  "
"Pintor Vicente López Portaña  "
"Pintor Rafael Zabaleta  "
"Pintor Eduardo Chillida  "
"Pintor Juan de Flandes  "
"Pintor Fernando Botero  "
"Pintor José Luis Cuevas  "
"Pintor Francisco Pradilla  "
"Pintor Joaquín Varela  "
"Pintor Fernando Gallego  "
"Pintor Nicolás de Largillière  "
"Pintor Juan Valdés Leal  "
"Pintor Antonio de Pereda  "
"Pintor Juan de Juanes  "
"Pintor Ramón Casas  "
"Pintor Francisco de Paula del Río  "
"Pintor Vicente Carducho  "
"Pintor José María Sert  "
"Pintor Pablo Gargallo  "
"Pintor Joaquín Borrás  "
"Pintor Carlos Muñoz de la Torre  "
"Pintor Juan Antonio García de Castro  "
"Pintor Salvador Rueda  "
"Pintor Manuel de la Cruz  "
"Pintor José de Almudévar  "
"Pintor Luis de Morales  "
"Pintor Eugenio Granell  "
"Pintor Juan de Alcaraz  "
"Pintor Ramón de Castro  "
"Pintor Francisco Muñoz y Martínez  "
"Pintor Juan de Villanueva  "
"Pintor Francisco Durrio  "
"Pintor Juan Gris  "
"Pintor Ricardo Gallo  "
"Pintor José María López Sanz  "
"Pintor Juan Carlos Arguello  "
"Pintor Francisco de Salas y Aguado  "
"Pintor José Royo Sánchez  "
"Pintor Vicente Romero  "
"Pintor Francisco de Paula y las Garzas  "
"Pintor Manuel Hernández Mompó  "
"Pintor Joaquín Martínez de la Vega  "
"Pintor Antonio de la Torre  "
"Pintor Luis García de Vial  "
"Pintor Fernando Rodríguez  "
"Pintor Juan Fernández  "
"Pintor José de Lanuza  "
"Pintor Santiago Rusiñol  "
"Pintor José Royo y García  "
"Pintor Francisco de Goya y Lucientes  "
"Pintor Juan Antonio de la Torre  "
"Pintor José María Subirachs  "
"Pintor Fernando Álvarez de Sotomayor  "
"Pintor Ignacio Zuloaga  "
"Pintor José Benlliure  "
"Pintor Antonio Muñoz Degrain  "
"Pintor Francisco Gijón  "
"Pintor Juan Bautista del Mazo  "
"Pintor Juan Martínez Montañés  "
"Pintor Francisco Pacheco  "
"Pintor Manuel López Ruiz  "
"Pintor Manuel González  "
"Pintor José María Ucelay  "
"Pintor José de la Vega y Muñoz  "
"Pintor Francisco López Hernández  "
"Pintor Juan Goya  "
"Pintor Vicente Mendiola  "
"Pintor Pablo de la Viña  "
"Pintor Santiago de la Vega  "
"Pintor José María López del Castillo  "
"Pintor Francisco de Goya y Lucientes  "
"Pintor Pedro de Valencia  "
"Pintor Rafael González  "
"Pintor Juan de la Cruz  "
"Pintor José Luis Royo  "
"Pintor Fernando Álvarez  "
"Pintor Luis Fernández  "
"Pintor Joaquín Francisco  "
"Pintor Juan Miguel  "
"Pintor Manuel Medina  "
"Pintor Ricardo Gutiérrez  "
"Pintor Francisco López  "
"Pintor Juan Eduardo  "
"Pintor Luis Ruiz  "
"Pintor Javier García  "
"Pintor Francisco Téllez  "
"Pintor Ignacio Roca  "
"Pintor Juan Pérez  "
